what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087097781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087098421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087100359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087101578
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289087101703
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289087101718
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289087102468
opened,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289087103437
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289087103500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1289087115625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087120515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087131437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087132187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087132687
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087155500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087182250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087190515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087222093
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1289087225812
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1289087225843
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289087239125
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1289087239125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087256312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289087257421
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1289087257812
