what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748023968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748027640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748027656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748027875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748033093
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289748034453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748055890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748078093
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289748087953
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1289748103250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748104109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748134406
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1289748146328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748186765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748373656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748382765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748396312
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289748400734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748408187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748455343
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748456515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289748458093
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289748469500
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289748493968
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289748494031
