what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075653937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075694437
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289075700625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075706562
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075708796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075710828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075714218
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289075717187
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289075717312
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1289075726156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075729500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075731359
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1289075731796
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289075737640
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289075738000
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1289075745140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075746515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075748546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075749078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1289075753812
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289075756078
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1289075756203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1289075780296
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1289075780437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1289075780578
