what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312489943890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1312489955812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312489958160
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1312489963717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312489964327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312489965235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312489967412
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1312489968445
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312489971971
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1312489974237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312489980155
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312489980902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312490043999
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1312490049426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312490049626
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312490051391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1312490068446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312490069289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312490084423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312490105539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312490222128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312490418003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498403180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498406043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498407512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498407883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498413656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312498415934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312504171521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312504172141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312512062590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312512062909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515431933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515439903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515445297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515445924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515448498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515449468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515472742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312515473900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516116457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516116883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516117749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516118461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516119545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312516120381
