what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1292088821531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088842031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088848015
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1292088850390
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1292088850390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088873250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088886578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088886953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088891265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1292088929546
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1292088931234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088931656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088941203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088942250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088942828
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1292088944015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088948890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088956906
opened,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1292088959234
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1292088959281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088963296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088963296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088963359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292088995265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1292089011656
