what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036871812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1288036874937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036875953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036876796
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288036878421
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1288036879156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036897031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036907437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036909421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036910828
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1288036915687
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1288036916250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1288036916593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036920796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036921906
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1288036926828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036927390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036928562
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036932265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036933046
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1288036939296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036940578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036942218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036948453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1288036949828
