what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1291934649375
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1291934652125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934652531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934661562
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1291934662921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934664296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934665765
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1291934669781
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1291934669859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934671640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934672750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934675281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934676078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934677515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934678250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934678859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934679500
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1291934682093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934684125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934685718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934688609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934690937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934692593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934693734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291934695968
